Time,Accel. Pedal[%],Ambient Pressure[psig],Boost (Pre-Throttle)[psig],Boost pressure (Target)[psig],Coolant Temp[F],Engine speed[rpm],Gear Actual[],HPFP (Target)[psig],HPFP Act.[psig],IAT[F],Ignition Cyl 1[deg],Ignition Timing 1[deg],Ignition Timing 2[deg],Ignition Timing 3[deg],Ignition Timing 4[deg],Knock Detected[0/1],LPFP Act. (Raw)[psig],Lambda[AFR],Lambda Act. (Bank 1)[AFR],Lambda Control Factor (Bank 1) - Faster[AFR],Load Act. (Rel.)[%],Load Target (Rel.)[%],MAF[lb/min],MAP[psig],Mass flow HFM[lb/min],Oil Temp[F],Relative Air Filling[%],STFT[],Throttle Angle[%],Vehicle Speed[mph],Wastegate Duty Cycle (Bank 1)[%],bootmod3_0.40.029_unknown,638df7bbd10b43b2d827be02
3.174,100,-0.1,21.9,19.2,212,4372,3,2882,2885,59,4.5,4.7,4.6,4.2,4.7,0,84,12.20,12.20,15.72,99.6,191.2,676.0,19.1,741.2,217,255,1.06,38,47,86,
3.225,100,-0.1,21.8,19.2,212,4402,3,2882,2887,59,4.5,4.8,4.6,4.6,4.8,0,84,12.28,12.28,15.74,99.6,191.2,684.0,19.2,747.2,217,255,1.07,38,48,86,
3.275,100,-0.1,21.8,19.2,212,4447,3,2882,2889,59,4.5,4.8,4.6,4.6,4.8,0,84,12.20,12.20,15.66,99.6,191.2,692.0,19.2,750.6,217,255,1.06,38,48,86,
3.325,100,-0.1,21.8,19.2,212,4493,3,2882,2881,59,4.5,4.8,4.8,4.6,4.8,0,84,12.23,12.23,15.65,99.6,191.2,700.0,19.2,756.9,217,255,1.06,39,48,85,
3.375,100,-0.1,21.6,19.3,212,4536,3,2882,2867,59,5.2,5.3,5.3,5.1,5.3,0,84,12.28,12.28,15.67,99.6,191.2,708.0,19.3,761.4,217,255,1.06,40,49,85,
3.425,100,-0.1,21.6,19.3,212,4583,3,2882,2873,59,5.2,5.3,5.3,5.1,5.3,0,84,12.27,12.27,15.66,99.6,191.2,716.0,19.2,765.9,217,255,1.06,40,49,85,
3.475,100,-0.1,21.5,19.3,212,4621,3,2882,2866,59,5.2,5.3,5.3,5.1,5.3,0,84,12.32,12.32,15.69,99.6,191.2,720.0,19.2,770.6,217,255,1.06,41,50,85,
3.525,100,-0.1,21.4,19.3,212,4659,3,2882,2854,57,5.2,5.3,5.3,5.1,5.3,0,84,12.28,12.28,15.65,99.6,191.2,728.0,19.2,776.7,217,255,1.06,41,51,85,
3.565,100,-0.1,21.3,19.3,212,4716,3,2882,2869,57,5.2,5.3,5.3,5.3,5.3,0,84,12.28,12.28,15.64,99.6,191.2,736.0,19.3,780.9,217,255,1.06,42,51,85,
3.615,100,-0.1,21.2,19.3,212,4752,3,2882,2889,57,5.2,5.3,5.3,5.3,5.3,0,84,12.24,12.24,15.60,99.6,191.2,740.0,19.3,783.4,217,255,1.06,43,52,85,
3.664,100,-0.1,20.9,19.3,212,4789,3,2882,2892,57,5.2,5.3,5.3,5.3,5.3,0,84,12.24,12.24,15.58,99.6,191.2,744.0,19.1,794.0,217,255,1.06,45,52,85,
3.714,100,-0.1,20.6,19.3,212,4823,3,2882,2894,57,5.2,5.3,5.3,5.3,5.3,0,84,12.41,12.41,15.72,99.2,191.2,752.0,19.1,796.1,217,255,1.07,51,52,85,
3.764,100,-0.1,20.2,19.3,212,4882,3,2882,2890,57,5.2,5.3,5.3,5.3,5.3,0,84,12.38,12.38,15.79,99.2,191.2,760.0,19.2,802.2,217,255,1.07,58,53,85,
